id,candidate_id,total_questions,attempted_questions,correct_answers,wrong_answers,unanswered,mcq_score_percent,time_taken_seconds,resume_match_percent,jd_skill_match_percent,submitted_at
1,1,15,12,4,8,3,26.67,1559,68,65,2026-04-23 06:27:41.643180
2,2,15,13,6,7,2,40.0,1492,83,84,2026-04-24 06:27:41.643180
3,3,15,15,6,9,0,40.0,830,62,63,2026-04-23 06:27:41.643180
4,4,15,12,12,0,3,80.0,1003,82,84,2026-04-21 06:27:41.643180
5,5,15,13,12,1,2,80.0,1403,68,50,2026-04-23 06:27:41.643180
6,6,15,15,11,4,0,73.33,1084,64,63,2026-04-22 06:27:41.643180
7,7,15,12,5,7,3,33.33,1189,63,72,2026-04-22 06:27:41.643180
8,8,15,14,5,9,1,33.33,1547,74,84,2026-04-24 06:27:41.643180
9,9,15,15,7,8,0,46.67,1365,69,73,2026-04-20 06:27:41.643180
10,10,15,13,6,7,2,40.0,846,81,64,2026-04-22 06:27:41.643180
11,11,15,12,7,5,3,46.67,1687,63,74,2026-04-22 06:27:41.643180
12,12,15,15,11,4,0,73.33,966,71,72,2026-04-23 06:27:41.643180
13,13,15,14,6,8,1,40.0,1423,80,60,2026-04-20 06:27:41.643180
14,14,15,13,7,6,2,46.67,1273,72,67,2026-04-20 06:27:41.643180
15,15,15,13,10,3,2,66.67,1663,84,53,2026-04-23 06:27:41.643180
16,16,15,12,9,3,3,60.0,1210,68,54,2026-04-23 06:27:41.643180
17,17,15,14,8,6,1,53.33,1471,75,75,2026-04-21 06:27:41.643180
18,18,15,13,9,4,2,60.0,942,67,85,2026-04-20 06:27:41.643180
19,19,15,14,14,0,1,93.33,1238,88,75,2026-04-22 06:27:41.643180
20,20,15,13,7,6,2,46.67,1321,75,55,2026-04-24 06:27:41.643180
21,21,15,12,6,6,3,40.0,1442,65,77,2026-04-20 06:27:41.643180
22,22,15,12,10,2,3,66.67,1190,79,79,2026-04-20 06:27:41.643180
23,23,15,14,13,1,1,86.67,1681,90,50,2026-04-24 06:27:41.643180
24,24,15,14,10,4,1,66.67,914,69,77,2026-04-23 06:27:41.643180
25,25,15,15,6,9,0,40.0,1776,83,66,2026-04-20 06:27:41.643180
