id,candidate_id,interviewer_name,interview_mode,scheduled_date,scheduled_time,status,meeting_link,notes,created_at
1,1,Harvey Specter,Remote,2024-02-06,14:00:00,Completed,https://meet.google.com/def-jkl-yz,Technical screen for QA Lead. Verify experience in Cloud.,2024-01-28 13:46:00
2,2,Harvey Specter,Remote,2024-06-05,15:45:00,Completed,https://meet.google.com/ghi-jkl-stu,Technical screen for UX Designer. Verify experience in Cloud.,2024-06-01 02:50:00
3,3,Robert Thorne,In-Person,2024-05-22,10:30:00,Completed,https://meet.google.com/abc-jkl-yz,Technical screen for Systems Admin. Verify experience in Java.,2024-05-19 14:49:00
4,4,Rachel Zane,In-Person,2024-03-01,11:00:00,Completed,https://meet.google.com/abc-jkl-vwx,Technical screen for Data Analyst. Verify experience in Python.,2024-02-28 08:59:00
5,5,Michael Scott,On-Site,2024-03-11,08:30:00,Scheduled,https://meet.google.com/def-pqr-vwx,Technical screen for Data Scientist. Verify experience in Cloud.,2024-03-01 11:47:00
6,6,Louis Litt,On-Site,2024-05-10,13:45:00,Cancelled,https://meet.google.com/def-pqr-stu,Technical screen for DevOps Engineer. Verify experience in Python.,2024-05-07 05:52:00
7,7,Alice Vance,On-Site,2024-04-21,12:00:00,Cancelled,https://meet.google.com/abc-jkl-vwx,Technical screen for Project Coordinator. Verify experience in Cloud.,2024-04-11 16:08:00
8,8,Rachel Zane,Hybrid,2024-04-22,15:45:00,Completed,https://meet.google.com/ghi-mno-vwx,Technical screen for Business Analyst. Verify experience in Python.,2024-04-16 20:22:00
9,9,Michael Scott,Hybrid,2024-02-02,13:15:00,Completed,https://meet.google.com/abc-jkl-vwx,Technical screen for Technical Lead. Verify experience in Python.,2024-01-30 02:09:00
10,10,Sarah Jenkins,On-Site,2024-05-25,10:00:00,Completed,https://meet.google.com/def-pqr-stu,Technical screen for Data Analyst. Verify experience in SQL.,2024-05-12 10:54:00
11,11,Harvey Specter,Hybrid,2024-06-15,10:45:00,Completed,https://meet.google.com/ghi-mno-yz,Technical screen for ML Engineer. Verify experience in SQL.,2024-06-03 15:21:00
12,12,Alice Vance,In-Person,2024-02-10,14:45:00,Completed,https://meet.google.com/ghi-pqr-vwx,Technical screen for HR Specialist. Verify experience in SQL.,2024-01-27 12:56:00
13,13,Robert Thorne,In-Person,2024-03-29,14:45:00,Completed,https://meet.google.com/abc-pqr-yz,Technical screen for Project Coordinator. Verify experience in Python.,2024-03-22 19:55:00
14,14,Jessica Pearson,On-Site,2024-03-12,09:15:00,Completed,https://meet.google.com/abc-pqr-yz,Technical screen for Product Manager. Verify experience in Python.,2024-03-07 18:32:00
15,15,Louis Litt,Hybrid,2024-02-16,12:30:00,Completed,https://meet.google.com/abc-pqr-yz,Technical screen for HR Specialist. Verify experience in Python.,2024-02-14 05:24:00
16,16,Alice Vance,On-Site,2024-03-30,12:45:00,Completed,https://meet.google.com/abc-mno-yz,Technical screen for Software Engineer. Verify experience in Python.,2024-03-22 11:57:00
